SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
2SemDragagem2030;3572;23.0;205.0;0.0;0;0;0;2;13:45;0.0;1.25;0.0;1.25;0.17;0.08;0.25;1.22;78.67;78.42;;;;;;CITROSUCO;GL;;BERÇO ARM 29;2;15:00;2;16:20;2;16:48;5;23:30;5;23:00;5;23:55
2SemDragagem2030;3573;23.0;225.0;0.0;0;0;0;2;16:48;33.0;44.33;52.42;129.75;0.0;0.0;0.0;8.37;77.42;77.42;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;8;02:35;8;04:05;8;11:42;11;10:15;;;;;;
2SemDragagem2030;3575;23.0;275.0;12.25;0;0;0;2;18:50;0.0;0.0;0.0;0.0;0.0;0.42;0.42;2.34;20.67;20.25;;;;;;DPW - CGC;CGC;;BERÇO DPW 1;2;18:50;2;20:10;2;21:45;3;17:10;3;16:50;3;18:25
2SemDragagem2030;3576;23.0;275.0;12.25;0;0;0;2;18:50;0.0;1.42;0.0;1.42;0.0;0.0;0.0;2.06;19.92;19.92;;;;;;DPW - CGC;CGC;;BERÇO DPW 2;2;20:15;2;21:55;2;23:13;3;18:35;3;17:50;3;19:25
2SemDragagem2030;3577;23.0;175.0;0.0;0;0;0;2;18:51;2.92;50.17;11.67;64.75;0.0;0.75;0.75;7.68;35.5;34.75;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 19;5;11:40;5;13:05;5;20:00;7;00:35;7;00:35;7;01:35
2SemDragagem2030;3578;23.0;195.0;11.25;0;0;0;2;17:46;0.0;0.33;0.0;0.33;1.25;0.25;1.5;1.88;78.75;77.25;;;;;;HIDROVIAS;GSM - I;;BERÇO ARM 22/23;2;18:10;2;19:15;2;20:22;6;01:15;6;02:00;6;03:20
2SemDragagem2030;3579;36.0;225.0;0.0;0;0;0;2;16:58;2.5;43.67;0.0;46.17;0.0;0.0;0.0;5.24;205.25;205.25;;;;;;NST - CGNC;CGNC;;BERÇO ARM 31;4;15:10;4;16:25;4;20:54;13;06:25;;;;;;
2SemDragagem2030;3580;23.0;265.0;12.75;0;0;0;2;19:52;0.0;0.58;0.0;0.58;0.0;0.0;0.0;2.37;18.0;18.0;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;2;20:30;2;21:45;2;23:22;3;16:30;3;15:45;3;16:55
2SemDragagem2030;3581;23.0;225.0;0.0;0;0;0;2;16:46;0.0;0.42;0.0;0.42;0.0;0.0;0.0;2.0;90.42;90.42;;;;;;TEAG;GSA - E;;BERÇO TEAG;2;17:15;2;18:25;2;19:40;6;13:35;6;12:50;6;13:35
2SemDragagem2030;3582;23.0;185.0;12.75;0;0;0;2;17:51;0.0;0.5;0.0;0.5;0.0;0.0;0.0;2.65;92.08;92.08;;;;;;TERMAG;GSM - I;;BERÇO TERMAG;2;18:25;2;19:15;2;21:09;6;16:05;6;15:20;6;16:25
