SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;149;50.0;305.0;8.6;1;1;0;2;06:00;0.5;0.0;0.0;0.5;CONCAIS;BERÇO OUT 1;2;06:30;2;07:50;2;07:50;2;18:15;2;19:20;2;20:40
S002;150;52.0;331.43;8.65;1;1;0;2;06:45;0.08;0.0;0.67;0.75;CONCAIS;BERÇO ARM 31/32;2;07:30;2;08:45;2;08:45;2;18:20;2;18:55;2;20:10
S002;151;28.0;183.2;8.5;0;0;0;2;16:00;174.33;0.0;0.42;174.75;TRANSPETRO;BERÇO AL 01;9;22:45;10;00:35;10;00:35;10;21:25;10;22:30;11;00:00
S002;152;40.0;272.08;10.2;0;0;0;2;07:00;0.08;0.0;0.0;0.08;SANTOSBR;BERÇO TECON 1.2;2;07:05;2;07:55;2;07:55;2;21:40;2;21:40;2;22:50
S002;153;48.0;333.17;11.4;1;0;0;2;19:30;0.08;0.0;1.67;1.75;SANTOSBR;BERÇO TECON 1.2;2;21:15;2;22:10;2;22:10;3;20:10;4;13:45;4;15:00
S002;154;51.0;336.0;14.3;1;0;0;2;09:48;14.17;0.0;0.0;14.17;SANTOSBR;BERÇO TECON 3;3;00:00;3;00:55;3;00:55;3;21:40;3;21:45;3;23:00
S002;156;27.0;170.7;9.81;0;0;0;3;17:00;79.0;21.75;0.0;100.75;BRACELL;BERÇO ARM 35P2;7;21:45;7;22:35;7;22:35;13;02:10;12;21:55;12;23:05
S002;157;48.0;330.03;14.0;1;0;0;3;05:48;0.0;0.0;0.0;0.0;BTP;BERÇO BTP 1;3;05:50;3;07:20;3;07:20;4;04:20;4;04:20;4;06:10
S002;158;26.0;168.03;9.4;0;0;0;3;18:40;29.33;7.83;0.0;37.17;DPW;BERÇO DPW 1;5;07:50;5;09:05;5;09:05;5;21:40;5;22:05;5;23:40
S002;159;43.0;270.9;10.5;0;0;0;3;15:48;3.5;0.0;0.0;3.5;DPW;BERÇO DPW 1;3;19:20;3;20:35;3;20:35;5;05:45;5;05:55;5;07:30
S002;160;32.0;190.0;6.06;0;0;0;3;07:30;17.67;0.0;0.08;17.75;OUTROS_PONTA;BERÇO ARM 38;4;01:15;4;02:15;4;02:15;5;07:10;5;09:55;5;10:35
S002;161;32.0;199.98;11.7;0;0;0;3;20:13;2.33;0.0;0.5;2.83;OUTROS_MACUCO;BERÇO ARM 35P1;3;23:05;3;23:50;3;23:50;13;05:50;13;02:25;13;03:30
S002;162;44.0;289.59;8.3;0;1;0;3;06:30;0.08;0.0;0.0;0.08;CONCAIS;BERÇO ARM 31/32;3;06:35;3;07:45;3;07:45;3;18:20;3;20:10;3;21:20
S002;163;44.0;323.0;8.65;0;1;0;3;07:30;0.83;0.0;1.58;2.42;CONCAIS;BERÇO OUT 2;3;09:55;3;11:10;3;11:10;3;20:40;3;21:10;3;22:25
S002;164;44.0;248.97;9.3;0;0;0;3;20:04;2.5;0.0;2.25;4.75;TRANSPETRO;BERÇO AL 01;4;00:50;4;02:40;4;02:40;7;09:20;7;09:20;7;10:50
S002;165;30.0;218.45;7.6;0;0;0;3;09:00;0.08;0.0;0.0;0.08;SANTOSBR;BERÇO TECON 1.1;3;09:05;3;09:55;3;09:55;4;04:15;4;04:15;4;05:25
S002;166;45.0;299.9;14.5;0;0;0;3;13:00;0.08;0.0;0.17;0.25;SANTOSBR;BERÇO TECON 2;3;13:15;3;14:05;3;14:05;4;07:55;4;07:55;4;09:05
S002;167;32.0;229.0;6.8;0;0;0;3;11:00;112.5;0.0;0.0;112.5;TGRAO;BERÇO OUT 2;8;03:30;8;04:45;8;04:45;10;11:50;10;10:20;10;11:15
S002;168;43.0;254.95;8.1;0;0;0;4;20:42;151.33;0.83;0.08;152.25;ADM;BERÇO ARM 39;11;05:00;11;06:00;11;06:00;15;21:30;15;21:30;15;22:10
S002;169;48.0;300.07;13.4;1;0;0;4;05:30;16.17;0.0;0.5;16.67;BTP;BERÇO BTP 1;4;22:10;4;23:40;4;23:40;5;14:15;5;14:15;5;16:05
S002;170;48.0;299.95;8.9;1;0;0;4;22:36;25.33;9.17;0.0;34.5;BTP;BERÇO BTP 2;6;09:10;6;11:00;6;11:00;7;05:25;7;05:35;7;07:05
S002;171;32.0;225.0;8.5;0;0;0;4;02:37;0.0;0.0;0.0;0.0;OUTROS_MACUCO;BERÇO ARM 31;4;02:40;4;03:50;4;03:50;7;15:30;;;;;;
S002;172;32.0;182.5;9.5;0;0;0;4;15:00;43.92;10.83;0.08;54.83;TRANSPETRO;BERÇO AL 02;6;21:50;6;23:40;6;23:40;7;20:55;7;21:55;7;23:25
S002;173;30.0;222.14;10.1;0;0;0;4;19:00;0.08;0.0;0.0;0.08;SANTOSBR;BERÇO TECON 3;4;19:05;4;19:55;4;19:55;5;02:25;5;03:05;5;04:15
S002;174;36.0;200.0;10.9;0;0;0;4;05:46;0.02;0.0;0.48;0.5;SANTOSBR;BERÇO TECON 1.1;4;06:20;4;07:10;4;07:10;4;20:25;4;20:25;4;21:35
S002;175;32.2;225.0;7.24;0;0;0;4;05:30;45.33;0.0;0.75;46.08;TEAG;BERÇO TEAG;6;03:35;6;04:40;6;04:40;11;16:40;11;16:05;11;16:50
S002;176;32.0;179.95;6.65;0;0;0;4;17:00;175.0;0.0;0.42;175.42;TEAG;BERÇO TEAG;12;00:25;12;01:30;12;01:30;18;13:50;18;13:55;18;14:40
S002;177;32.0;229.0;6.67;0;0;0;4;10:18;351.67;0.0;0.0;351.67;TGRAO;BERÇO OUT 2;19;02:00;19;03:15;19;03:15;25;18:55;;;;;;
S002;178;32.0;189.99;6.54;0;0;0;5;22:00;0.08;0.0;0.83;0.92;ADM;BERÇO ARM 39;5;22:55;5;23:55;5;23:55;11;07:05;11;02:45;11;03:25
S002;179;42.0;334.07;10.7;0;0;0;5;07:00;0.08;0.92;5.42;6.42;BTP;BERÇO BTP 1;5;13:25;5;14:50;5;14:50;6;12:00;7;04:50;7;06:35
S002;180;49.0;299.97;11.0;1;0;0;5;05:00;3.17;0.0;1.0;4.17;BTP;BERÇO BTP 2;5;09:10;5;11:00;5;11:00;6;07:35;6;07:35;6;09:05
S002;181;48.0;328.46;10.7;1;0;0;5;08:42;0.03;0.0;1.88;1.92;BTP;BERÇO BTP 3;5;10:40;5;12:30;5;12:30;6;16:20;6;19:25;6;20:55
S002;182;42.0;333.99;9.7;0;0;0;5;15:00;83.92;0.0;0.0;83.92;DPW;BERÇO DPW 2;9;02:55;9;04:30;9;04:30;10;13:00;10;13:25;10;14:40
S002;183;30.0;208.85;10.3;0;0;0;5;09:54;3.57;10.18;0.75;14.5;DPW;BERÇO DPW 1;6;00:25;6;02:00;6;02:00;6;13:45;6;21:20;6;22:35
S002;184;32.0;189.99;7.62;0;0;0;5;14:11;2.0;0.0;0.25;2.25;OUTROS_MACUCO;BERÇO ARM 32;5;16:30;5;17:20;5;17:20;7;15:50;7;16:10;7;17:20
S002;185;29.0;180.0;7.8;0;0;0;5;05:30;0.08;0.0;0.0;0.08;TRANSPETRO;BERÇO AL 02;5;05:35;5;07:05;5;07:05;5;13:25;5;16:20;5;18:10
S002;186;48.0;333.2;11.7;1;0;0;5;08:00;0.08;0.0;0.58;0.67;SANTOSBR;BERÇO TECON 2;5;08:40;5;09:35;5;09:35;6;06:10;6;06:10;6;07:25
S002;187;32.0;228.99;6.6;0;0;0;5;23:12;0.03;0.0;2.13;2.17;TGG;BERÇO TGG;6;01:25;6;02:30;6;02:30;9;13:40;9;15:45;9;16:30
S002;188;25.0;160.0;7.5;0;0;0;5;22:00;0.08;0.0;0.0;0.08;ULTRACARGO;BERÇO AL 04;5;22:05;5;23:55;5;23:55;7;04:40;7;04:40;7;06:10
S002;189;25.0;156.53;7.8;0;0;0;5;03:00;0.08;0.0;1.25;1.33;ULTRACARGO;BERÇO AL 03;5;04:20;5;05:50;5;05:50;6;14:45;6;19:30;6;21:20
S002;190;42.0;270.07;10.9;0;0;0;6;10:30;60.33;0.0;0.0;60.33;BTP;BERÇO BTP 2;8;22:50;9;00:15;9;00:15;9;22:20;9;23:35;10;01:20
S002;191;48.0;299.9;11.3;1;0;0;6;06:12;11.12;3.63;4.42;19.17;BTP;BERÇO BTP 3;7;01:25;7;03:15;7;03:15;7;22:30;7;22:40;8;00:10
S002;192;32.0;183.1;10.0;0;0;0;6;16:00;10.5;0.0;0.25;10.75;DOW;BERÇO DOW;7;02:45;7;03:25;7;03:25;7;21:20;8;06:15;8;07:15
S002;193;40.0;299.2;11.2;0;0;0;6;13:00;155.0;0.0;1.67;156.67;DPW;BERÇO DPW 1;13;01:40;13;02:55;13;02:55;14;13:00;14;13:15;14;14:50
S002;194;32.0;228.62;8.3;0;0;0;6;05:00;0.08;0.0;0.0;0.08;DPW;BERÇO DPW 2;6;05:05;6;06:20;6;06:20;6;20:20;6;22:05;6;23:40
S002;195;40.04;275.0;12.0;0;0;0;6;07:24;10.98;23.1;3.25;37.33;DPW;BERÇO DPW 2;7;20:45;7;22:00;7;22:00;8;20:30;8;19:00;8;20:35
S002;196;37.0;255.4;12.9;0;0;0;6;18:00;2.92;1.67;1.42;6.0;DPW;BERÇO DPW 2;7;00:00;7;01:35;7;01:35;7;18:30;7;18:40;7;19:55
S002;197;32.0;228.99;7.16;0;0;0;6;19:30;6.75;0.0;1.75;8.5;OUTROS_PONTA;BERÇO ARM 38;7;04:00;7;05:00;7;05:00;12;00:00;11;19:45;11;20:25
S002;198;32.0;228.0;9.7;0;0;0;6;19:42;172.25;0.0;1.75;174.0;OUTROS_ALAMOA;BERÇO AL 02;14;01:45;14;03:15;14;03:15;17;20:05;17;20:10;17;22:00
S002;199;44.0;323.0;8.6;0;1;0;6;06:30;2.17;0.0;1.0;3.17;CONCAIS;BERÇO OUT 2;6;09:40;6;10:55;6;10:55;7;02:00;7;04:30;7;05:45
S002;200;32.0;183.2;7.0;0;0;0;6;13:44;130.25;0.0;1.42;131.67;TRANSPETRO;BERÇO AL 01;12;01:25;12;03:15;12;03:15;13;04:15;13;04:35;13;06:05
