SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S012;164;27.0;170.7;9.81;0;0;0;3;17:00;79.0;17.83;0.0;96.83;0.0;0.0;0.0;127.91666666666667;8;14:40;14;03:40;BERÇO ARM 30;BRACELL;BERÇO ARM 35P1;7;17:50;7;18:35;7;18:35;13;02:30;13;02:30;13;03:35
S012;165;26.0;168.03;9.4;0;0;0;3;18:40;29.33;2.58;0.0;31.92;0.0;0.0;0.0;13.5;6;12:55;7;05:43;BERÇO DPW 3;DPW - CGC;BERÇO DPW 1;5;02:35;5;03:50;5;03:50;5;17:20;5;17:20;5;18:55
S012;166;44.0;248.97;9.3;0;0;0;3;20:04;0.42;0.0;0.67;1.08;0.0;0.58;0.58;79.58333333333333;3;21:28;7;11:25;BERÇO AL 01;TRANSPETRO;BERÇO AL 01;3;21:10;3;23:00;3;23:00;7;06:35;7;07:10;7;08:40
S012;167;32.0;199.98;11.7;0;0;0;3;20:13;0.42;0.0;0.58;1.0;0.0;0.0;0.0;233.91666666666666;3;21:05;13;18:30;BERÇO ARM 33;OUTROS_MACUCO;BERÇO ARM 35P2;3;21:15;3;22:05;3;22:05;13;16:00;13;16:00;13;17:10
S012;168;32.0;225.0;8.5;0;0;0;4;02:37;17.33;172.0;27.75;217.08;3.0;0.0;3.0;87.33333333333333;4;03:20;8;01:40;BERÇO ARM 35P2;OUTROS_MACUCO;BERÇO ARM 35P1;13;03:45;13;04:50;13;04:50;16;20:10;16;23:10;16;23:55
S012;169;48.0;300.07;13.4;0;0;0;4;05:30;7.5;0.0;0.0;7.5;0.33;0.33;0.67;17.083333333333332;4;07:20;5;02:50;BERÇO BTP 2;BTP;BERÇO BTP 2;4;13:00;4;14:25;4;14:25;5;07:30;5;08:10;5;09:55
S012;170;32.2;225.0;7.24;0;0;0;4;05:30;42.5;0.0;0.08;42.58;2.08;0.0;2.08;132.41666666666666;7;06:00;12;22:55;BERÇO TEAG;TEAG;BERÇO TEAG;6;00:05;6;01:10;6;01:10;11;13:35;11;15:40;11;16:25
S012;171;36.0;200.0;10.9;0;0;0;4;05:46;0.0;0.75;0.08;0.83;0.0;0.0;0.0;20.333333333333332;4;06:40;5;08:20;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 2;4;06:40;4;07:30;4;07:30;5;03:50;5;03:50;5;05:00
S012;172;32.0;229.0;6.67;0;0;0;4;10:18;349.67;0.0;0.5;350.17;0.0;0.0;0.0;168.25;20;03:15;27;11:10;BERÇO ARM 19;TGRAO;BERÇO OUT 2;19;00:30;19;01:45;19;01:45;26;02:00;;;;;;
S012;173;32.0;182.5;9.5;0;0;0;4;15:00;42.75;23.0;0.0;65.75;0.0;0.0;0.0;26.333333333333332;7;15:10;8;23:00;BERÇO AL 01;TRANSPETRO;BERÇO AL 01;7;08:45;7;10:35;7;10:35;8;12:55;8;12:55;8;14:25
S012;174;32.0;179.95;6.65;0;0;0;4;17:00;175.0;0.0;0.17;175.17;0.08;0.0;0.08;156.58333333333334;13;00:45;19;18:15;BERÇO TEAG;TEAG;BERÇO TEAG;12;00:10;12;01:15;12;01:15;18;13:50;18;13:55;18;14:40
S012;175;30.0;222.14;10.1;0;0;0;4;19:00;0.0;0.0;0.0;0.0;0.0;1.75;1.75;11.75;4;20:05;5;10:03;BERÇO TECON 1.1;SANTOSBR;BERÇO TECON 3;4;19:00;4;19:50;4;19:50;5;07:35;5;09:20;5;10:30
S012;176;43.0;254.95;8.1;0;0;0;4;20:42;153.58;12.5;0.0;166.08;0.0;0.0;0.0;114.41666666666667;12;03:00;17;09:15;BERÇO ARM 39;ADM;BERÇO ARM 39;11;18:50;11;19:50;11;19:50;16;14:15;16;14:15;16;14:55
