ROUTE_ID;SEGMENT;POINT;X;Y;IS_BERTH_ROUTE
92;1;SEG15;-23.9148553;-46.36972630000001;True
92;1;ARAUCO MANOBRA 1;-23.91539;-46.37733;True
92;1;ARAUCO MANOBRA 2;-23.91716;-46.37949;False
92;1;ARAUCO MANOBRA 3;-23.91865;-46.3813;False
92;1;ARAUCO MANOBRA 4;-23.91957;-46.38328;False
92;1;BERÇO ARAUCO 1;-23.92033;-46.38457;False
93;1;SEG15;-23.9148553;-46.36972630000001;True
93;1;ARAUCO MANOBRA 1;-23.91539;-46.37733;True
93;1;ARAUCO MANOBRA 2;-23.91716;-46.37949;False
93;1;ARAUCO MANOBRA 3;-23.91865;-46.3813;False
93;1;ARAUCO MANOBRA 4;-23.91957;-46.38328;False
93;1;BERÇO ARAUCO 2;-23.91984;-46.3865;False
94;1;SEG15;-23.9148553;-46.36972630000001;True
94;1;ARAUCO MANOBRA 1;-23.91539;-46.37733;True
94;1;ARAUCO MANOBRA 2;-23.91716;-46.37949;False
94;1;ARAUCO MANOBRA 3;-23.91865;-46.3813;False
94;1;ARAUCO MANOBRA 4;-23.91957;-46.38328;False
94;1;BERÇO ARAUCO 3;-23.91948;-46.38843;False
95;1;SEG10;-23.9340599;-46.3120496;True
95;2;BERÇO RUMO 1;-23.9267;-46.31135;True
96;1;SEG10;-23.9340599;-46.3120496;True
96;2;BERÇO RUMO 2;-23.92813;-46.31021;True
97;1;SEG12;-23.9268202;-46.3298809;True
97;2;BERÇO TECON10 1;-23.92486;-46.34045;True
98;1;SEG12;-23.9268202;-46.3298809;True
98;2;BERÇO TECON10 2;-23.92557;-46.33838;True
99;1;SEG12;-23.9268202;-46.3298809;True
99;2;BERÇO TECON10 3;-23.92614;-46.33661;True
100;1;SEG12;-23.9268202;-46.3298809;True
100;2;BERÇO TECON10 4;-23.92711;-46.33376;True
101;1;SEG9;-23.9419635;-46.3104618;True
101;2;BERÇO ARM 12A/13/14;-23.9378566;-46.31362839999999;True
